active_enterprises,enterprise_births,persons_engaged_in_active_enterprises,employees_in_active_enterprises,persons_engaged_in_birthed_enterprises,employees_in_birthed_enterprises
3476.0,214.0,6478.0,3541.0,303.0,0.0
193.0,20.0,794.0,749.0,24.0,0.0
69.0,,204.0,173.0,,0.0
4953.0,190.0,22817.0,16852.0,1087.0,0.0
11896.0,631.0,53377.0,42415.0,1974.0,0.0
260.0,15.0,2825.0,2737.0,14.0,0.0
11109.0,1420.0,38322.0,34994.0,1896.0,0.0
213.0,,21529.0,21519.0,32.0,0.0
353.0,,11249.0,11147.0,56.0,0.0
387.0,35.0,20277.0,20198.0,,0.0
268.0,,4966.0,4918.0,75.0,0.0
610.0,43.0,12757.0,12652.0,71.0,0.0
1084.0,86.0,9911.0,9358.0,,0.0
467.0,21.0,10066.0,9967.0,23.0,0.0
16461.0,1237.0,239199.0,231538.0,1886.0,0.0
238.0,17.0,3829.0,3746.0,19.0,0.0
451.0,27.0,4713.0,4616.0,21.0,0.0
719.0,,4664.0,4250.0,,0.0
2557.0,305.0,23915.0,22741.0,571.0,0.0
629.0,58.0,2656.0,2428.0,84.0,0.0
223.0,16.0,2801.0,2735.0,19.0,0.0
2219.0,256.0,13126.0,12572.0,356.0,0.0
