active_enterprise,persons_engaged,employees
48.0,1313.0,1285.0
72.0,1552.0,1513.0
78.0,514.0,474.0
2248.0,40094.0,38905.0
,,
,5.0,
6.0,14.0,10.0
13.0,23.0,14.0
35.0,225.0,206.0
34.0,330.0,319.0
87.0,4306.0,4268.0
18.0,128.0,120.0
12.0,27.0,19.0
19.0,373.0,364.0
6.0,,
0.0,0.0,0.0
,,
25.0,84.0,73.0
3.0,,
33.0,2226.0,2214.0
8.0,21.0,17.0
13.0,,95.0
,,
,8.0,4.0
7.0,20.0,18.0
5.0,38.0,
13.0,29.0,17.0
11.0,76.0,70.0
,27.0,
14.0,40.0,32.0
12.0,106.0,100.0
416.0,8313.0,8103.0
,,
122.0,,622.0
130.0,,266.0
254.0,1096.0,869.0
1723.0,7296.0,5730.0
313.0,1091.0,782.0
4956.0,56811.0,52813.0
926.0,3194.0,2344.0
431.0,1319.0,917.0
455.0,1313.0,914.0
227.0,1032.0,837.0
140.0,365.0,
54.0,,
572.0,10353.0,
62.0,,123.0
280.0,900.0,650.0
315.0,956.0,649.0
431.0,988.0,614.0
86.0,234.0,147.0
154.0,,233.0
114.0,269.0,152.0
215.0,833.0,628.0
385.0,909.0,564.0
363.0,1155.0,826.0
260.0,,
290.0,802.0,530.0
348.0,854.0,490.0
14939.0,96329.0,83268.0
,,
191.0,,2087.0
232.0,,1543.0
398.0,3065.0,2763.0
2338.0,19359.0,17584.0
532.0,4684.0,4305.0
6627.0,111185.0,106646.0
1308.0,13856.0,12834.0
637.0,4864.0,4377.0
692.0,9803.0,9281.0
357.0,3331.0,3075.0
213.0,,
114.0,,
817.0,16885.0,16318.0
110.0,,1342.0
421.0,3814.0,3511.0
499.0,4717.0,4349.0
626.0,5228.0,4762.0
196.0,3126.0,3003.0
229.0,,1523.0
200.0,1913.0,1768.0
322.0,2539.0,2297.0
609.0,4606.0,4171.0
493.0,3836.0,
370.0,,
465.0,4450.0,4097.0
504.0,4329.0,3902.0
21068.0,241308.0,225846.0
,,
4.0,7.0,5.0
0.0,0.0,0.0
8.0,,
38.0,9061.0,9054.0
7.0,10.0,8.0
62.0,527.0,517.0
12.0,817.0,816.0
,,0.0
15.0,,
3.0,10.0,
3.0,,
,,
8.0,,
,,
5.0,,
,,
6.0,18.0,16.0
,,0.0
4.0,,
0.0,0.0,0.0
,,0.0
,,0.0
5.0,,
,,
4.0,3.0,
4.0,5.0,
241.0,16175.0,16120.0
,,
83.0,339.0,309.0
78.0,153.0,130.0
229.0,884.0,836.0
1133.0,9681.0,9424.0
168.0,2166.0,
6552.0,80696.0,79734.0
526.0,2678.0,2526.0
211.0,619.0,534.0
505.0,1789.0,
87.0,254.0,232.0
91.0,217.0,185.0
62.0,176.0,153.0
393.0,5688.0,5594.0
52.0,94.0,78.0
231.0,749.0,687.0
137.0,444.0,401.0
359.0,793.0,704.0
42.0,121.0,104.0
74.0,101.0,78.0
74.0,286.0,264.0
95.0,268.0,234.0
177.0,463.0,404.0
236.0,1195.0,1126.0
144.0,400.0,370.0
216.0,548.0,466.0
421.0,1027.0,921.0
13353.0,113122.0,110211.0
,,
87.0,346.0,314.0
78.0,153.0,130.0
237.0,,
1171.0,18742.0,18478.0
175.0,2176.0,
6614.0,81223.0,80251.0
538.0,3495.0,3342.0
,,534.0
520.0,,4777.0
90.0,264.0,
94.0,,
,,
401.0,,
,,
236.0,,
,,
365.0,811.0,720.0
,,104.0
78.0,,
74.0,286.0,264.0
,,234.0
,,404.0
241.0,,
,,
220.0,551.0,
425.0,1032.0,
13594.0,129297.0,126331.0
,,
3.0,5.0,
4.0,,0.0
13.0,38.0,
54.0,,172.0
5.0,,
313.0,8346.0,8271.0
25.0,107.0,95.0
11.0,56.0,51.0
17.0,53.0,46.0
9.0,,27.0
6.0,8.0,6.0
,,0.0
12.0,13.0,10.0
,,0.0
11.0,27.0,
8.0,5.0,
11.0,,
,,0.0
,,
0.0,0.0,0.0
7.0,8.0,6.0
7.0,12.0,11.0
12.0,69.0,66.0
7.0,5.0,
9.0,13.0,9.0
19.0,28.0,20.0
638.0,9434.0,9231.0
,,
86.0,316.0,285.0
90.0,154.0,123.0
247.0,787.0,727.0
1262.0,9382.0,9049.0
209.0,2354.0,2279.0
8279.0,86434.0,84648.0
727.0,2808.0,2571.0
277.0,894.0,772.0
569.0,1419.0,1259.0
111.0,542.0,501.0
91.0,208.0,
70.0,,
401.0,3373.0,3273.0
46.0,,65.0
245.0,780.0,706.0
177.0,525.0,462.0
417.0,1320.0,1200.0
44.0,95.0,76.0
84.0,161.0,137.0
80.0,,
119.0,341.0,295.0
207.0,575.0,504.0
267.0,1463.0,1382.0
162.0,,
234.0,568.0,482.0
603.0,1515.0,1335.0
16418.0,118709.0,114175.0
,,
,,0.0
5.0,8.0,7.0
3.0,,
27.0,,
5.0,16.0,
316.0,16372.0,16353.0
14.0,,
4.0,,
6.0,19.0,
4.0,9.0,
,,
,,
11.0,37.0,33.0
,,0.0
10.0,18.0,12.0
3.0,9.0,
6.0,171.0,171.0
0.0,0.0,0.0
0.0,0.0,0.0
,,
,,0.0
